,LEA Code,LEA Name,School Code,School Name,Entity Type,Ward,Student Group,Grade,Percent Enrolled,Enrollment Count,Total Count of Students,Total Per-Pupil Expenditure,School Expenditures: State/Local,School Expenditures: Federal,Total School Level Expenditure,School Level: State/Local,School Level: Federal,Centralized Expenditures,Centralized Expenditures: State/Local,Centralized Expenditures: Federal,id
56,001,District of Columbia Public Schools,316,Randle Highlands Elementary School,DCPS,7,At-Risk,All,62.0,,363.0,20405,17944,2462,13530.0,12566.0,964.0,6875.0,5377.0,1498.0,316Randle Highlands Elementary School
57,001,District of Columbia Public Schools,318,Excel Academy,DCPS,8,At-Risk,All,73.0,,504.0,19872,17722,2150,12997.0,12345.0,653.0,6875.0,5377.0,1498.0,318Excel Academy
58,001,District of Columbia Public Schools,319,Stanton Elementary School,DCPS,8,At-Risk,All,88.0,,522.0,19070,16804,2265,12195.0,11427.0,768.0,6875.0,5377.0,1498.0,319Stanton Elementary School
59,001,District of Columbia Public Schools,321,Stoddert Elementary School,DCPS,3,At-Risk,All,4.0,,487.0,18367,16645,1722,11492.0,11267.0,224.0,6875.0,5377.0,1498.0,321Stoddert Elementary School
60,001,District of Columbia Public Schools,322,Smothers Elementary School,DCPS,7,At-Risk,All,72.0,,288.0,22734,20006,2728,15859.0,14628.0,1231.0,6875.0,5377.0,1498.0,322Smothers Elementary School
61,001,District of Columbia Public Schools,324,Takoma Education Campus,DCPS,4,At-Risk,All,42.0,,577.0,20777,18520,2257,13903.0,13143.0,760.0,6875.0,5377.0,1498.0,324Takoma Education Campus
62,001,District of Columbia Public Schools,325,Thomas Elementary School,DCPS,7,At-Risk,All,82.0,,416.0,22482,20084,2398,15607.0,14706.0,901.0,6875.0,5377.0,1498.0,325Thomas Elementary School
63,001,District of Columbia Public Schools,326,Thomson Elementary School,DCPS,2,At-Risk,All,38.0,,351.0,20965,18614,2351,14090.0,13236.0,853.0,6875.0,5377.0,1498.0,326Thomson Elementary School
64,001,District of Columbia Public Schools,327,Truesdell Education Campus,DCPS,4,At-Risk,All,49.0,,676.0,19946,17539,2407,13071.0,12161.0,910.0,6875.0,5377.0,1498.0,327Truesdell Education Campus
65,001,District of Columbia Public Schools,328,Tubman Elementary School,DCPS,1,At-Risk,All,52.0,,613.0,20733,18421,2311,13858.0,13044.0,814.0,6875.0,5377.0,1498.0,328Tubman Elementary School
66,001,District of Columbia Public Schools,329,Turner Elementary School,DCPS,8,At-Risk,All,82.0,,537.0,19375,17145,2230,12500.0,11768.0,733.0,6875.0,5377.0,1498.0,329Turner Elementary School
67,001,District of Columbia Public Schools,330,Tyler Elementary School,DCPS,6,At-Risk,All,38.0,,549.0,19659,17457,2201,12784.0,12080.0,704.0,6875.0,5377.0,1498.0,330Tyler Elementary School
68,001,District of Columbia Public Schools,331,Van Ness Elementary School,DCPS,6,At-Risk,All,33.0,,292.0,19277,17388,1890,12402.0,12010.0,392.0,6875.0,5377.0,1498.0,331Van Ness Elementary School
69,001,District of Columbia Public Schools,332,Walker-Jones Education Campus,DCPS,6,At-Risk,All,82.0,,449.0,21965,19675,2290,15090.0,14297.0,792.0,6875.0,5377.0,1498.0,332Walker-Jones Education Campus
70,001,District of Columbia Public Schools,333,Watkins Elementary School (Capitol Hill Cluster),DCPS,6,At-Risk,All,21.0,,460.0,15828,14055,1773,8953.0,8677.0,275.0,6875.0,5377.0,1498.0,333Watkins Elementary School (Capitol Hill Cluster)
71,001,District of Columbia Public Schools,335,Wheatley Education Campus,DCPS,5,At-Risk,All,73.0,,353.0,21913,19539,2374,15038.0,14162.0,876.0,6875.0,5377.0,1498.0,335Wheatley Education Campus
72,001,District of Columbia Public Schools,336,West Education Campus,DCPS,4,At-Risk,All,39.0,,377.0,20445,18121,2324,13570.0,12743.0,826.0,6875.0,5377.0,1498.0,336West Education Campus
73,001,District of Columbia Public Schools,338,Whittier Education Campus,DCPS,4,At-Risk,All,49.0,,410.0,22960,20806,2154,16085.0,15428.0,657.0,6875.0,5377.0,1498.0,338Whittier Education Campus
74,001,District of Columbia Public Schools,339,J.O. Wilson Elementary School,DCPS,6,At-Risk,All,46.0,,528.0,20579,18330,2249,13704.0,12952.0,752.0,6875.0,5377.0,1498.0,339J.O. Wilson Elementary School
75,001,District of Columbia Public Schools,344,King Elementary School,DCPS,8,At-Risk,All,85.0,,343.0,22881,19998,2882,16006.0,14621.0,1385.0,6875.0,5377.0,1498.0,344King Elementary School
76,001,District of Columbia Public Schools,347,Brookland Middle School,DCPS,5,At-Risk,All,53.0,,316.0,20704,18427,2276,13829.0,13050.0,779.0,6875.0,5377.0,1498.0,347Brookland Middle School
77,001,District of Columbia Public Schools,349,Dorothy I. Height Elementary School,DCPS,4,At-Risk,All,41.0,,500.0,22120,19945,2175,15245.0,14568.0,678.0,6875.0,5377.0,1498.0,349Dorothy I. Height Elementary School
78,001,District of Columbia Public Schools,360,Capitol Hill Montessori School @ Logan,DCPS,6,At-Risk,All,18.0,,383.0,17471,15700,1771,10596.0,10322.0,273.0,6875.0,5377.0,1498.0,360Capitol Hill Montessori School @ Logan
79,001,District of Columbia Public Schools,370,Langley Elementary School,DCPS,5,At-Risk,All,50.0,,335.0,23538,21036,2502,16663.0,15658.0,1005.0,6875.0,5377.0,1498.0,370Langley Elementary School
80,001,District of Columbia Public Schools,402,Benjamin Banneker High School,DCPS,1,At-Risk,All,25.0,,488.0,17790,15622,2169,10915.0,10244.0,671.0,6875.0,5377.0,1498.0,402Benjamin Banneker High School
81,001,District of Columbia Public Schools,404,Browne Education Campus,DCPS,5,At-Risk,All,73.0,,430.0,21557,19064,2493,14682.0,13686.0,996.0,6875.0,5377.0,1498.0,404Browne Education Campus
82,001,District of Columbia Public Schools,405,Deal Middle School,DCPS,3,At-Risk,All,7.0,,1549.0,15797,13948,1849,8922.0,8570.0,352.0,6875.0,5377.0,1498.0,405Deal Middle School
83,001,District of Columbia Public Schools,407,Eliot-Hine Middle School,DCPS,6,At-Risk,All,60.0,,271.0,27578,24672,2906,20703.0,19295.0,1408.0,6875.0,5377.0,1498.0,407Eliot-Hine Middle School
84,001,District of Columbia Public Schools,409,School Without Walls @ Francis-Stevens,DCPS,2,At-Risk,All,15.0,,499.0,20096,18373,1724,13221.0,12995.0,226.0,6875.0,5377.0,1498.0,409School Without Walls @ Francis-Stevens
85,001,District of Columbia Public Schools,413,Hart Middle School,DCPS,8,At-Risk,All,82.0,,425.0,24910,22627,2283,18035.0,17250.0,786.0,6875.0,5377.0,1498.0,413Hart Middle School
86,001,District of Columbia Public Schools,416,Johnson Middle School,DCPS,8,At-Risk,All,82.0,,322.0,23628,21290,2339,16753.0,15912.0,841.0,6875.0,5377.0,1498.0,416Johnson Middle School
87,001,District of Columbia Public Schools,417,Kramer Middle School,DCPS,8,At-Risk,All,89.0,,257.0,25586,22865,2721,18711.0,17488.0,1223.0,6875.0,5377.0,1498.0,417Kramer Middle School
88,001,District of Columbia Public Schools,420,MacFarland Middle School,DCPS,4,At-Risk,All,40.0,,390.0,19925,17977,1948,13050.0,12599.0,451.0,6875.0,5377.0,1498.0,420MacFarland Middle School
89,001,District of Columbia Public Schools,421,Kelly Miller Middle School,DCPS,7,At-Risk,All,71.0,,564.0,20943,18845,2099,14068.0,13467.0,601.0,6875.0,5377.0,1498.0,421Kelly Miller Middle School
90,001,District of Columbia Public Schools,427,Sousa Middle School,DCPS,7,At-Risk,All,79.0,,263.0,22939,20334,2604,16064.0,14957.0,1107.0,6875.0,5377.0,1498.0,427Sousa Middle School
91,001,District of Columbia Public Schools,428,Stuart-Hobson Middle School (Capitol Hill Cluster),DCPS,6,At-Risk,All,27.0,,463.0,18565,16202,2363,11690.0,10824.0,866.0,6875.0,5377.0,1498.0,428Stuart-Hobson Middle School (Capitol Hill Cluster)
