,LEA Code,LEA Name,School Code,School Name,Entity Type,Ward,Student Group,Grade,Percent Enrolled,Enrollment Count,Total Count of Students,Short Name,Total Per-Pupil Expenditure,School Expenditures: State/Local,School Expenditures: Federal,Total School Level Expenditure,School Level: State/Local,School Level: Federal,Centralized Expenditures,Centralized Expenditures: State/Local,Centralized Expenditures: Federal,Highest Grade,Lowest Grade,Accountability Framework,Level
50,001,District of Columbia Public Schools,300,Powell Elementary School,DCPS,4,At-Risk,,33,,567,Powell Elementary School,19845,17408,2436,12970.0,12031.0,939.0,6875.0,5377.0,1498.0,5.0,-2.0,Elementary School,Elementary School
51,001,District of Columbia Public Schools,302,Raymond Education Campus,DCPS,4,At-Risk,,46,,624,Raymond Education Campus,22003,19706,2297,15128.0,14328.0,800.0,6875.0,5377.0,1498.0,8.0,-2.0,Elementary School,K-8 School
52,001,District of Columbia Public Schools,302,Raymond Education Campus,DCPS,4,At-Risk,,46,,624,Raymond Education Campus,22003,19706,2297,15128.0,14328.0,800.0,6875.0,5377.0,1498.0,8.0,-2.0,Middle School,K-8 School
53,001,District of Columbia Public Schools,305,Ross Elementary School,DCPS,2,At-Risk,,3,,201,Ross Elementary School,19996,17973,2023,13121.0,12595.0,526.0,6875.0,5377.0,1498.0,5.0,-2.0,Elementary School,Elementary School
54,001,District of Columbia Public Schools,307,Savoy Elementary School,DCPS,8,At-Risk,,88,,292,Savoy Elementary School,22808,20454,2354,15933.0,15076.0,857.0,6875.0,5377.0,1498.0,5.0,-2.0,Elementary School,Elementary School
55,001,District of Columbia Public Schools,308,Malcolm X Elementary School @ Green,DCPS,8,At-Risk,,85,,280,Malcolm X Elementary School @,20612,18209,2403,13737.0,12832.0,905.0,6875.0,5377.0,1498.0,5.0,-2.0,Elementary School,Elementary School
56,001,District of Columbia Public Schools,309,Seaton Elementary School,DCPS,6,At-Risk,,35,,416,Seaton Elementary School,22624,20364,2260,15749.0,14987.0,762.0,6875.0,5377.0,1498.0,5.0,-2.0,Elementary School,Elementary School
57,001,District of Columbia Public Schools,313,Shepherd Elementary School,DCPS,4,At-Risk,,12,,396,Shepherd Elementary School,16732,14965,1766,9857.0,9588.0,269.0,6875.0,5377.0,1498.0,5.0,-2.0,Elementary School,Elementary School
58,001,District of Columbia Public Schools,315,Simon Elementary School,DCPS,8,At-Risk,,70,,290,Simon Elementary School,22475,20035,2440,15600.0,14657.0,942.0,6875.0,5377.0,1498.0,5.0,-2.0,Elementary School,Elementary School
59,001,District of Columbia Public Schools,316,Randle Highlands Elementary School,DCPS,7,At-Risk,,62,,363,Randle Highlands Elementary School,20405,17944,2462,13530.0,12566.0,964.0,6875.0,5377.0,1498.0,5.0,-2.0,Elementary School,Elementary School
60,001,District of Columbia Public Schools,318,Excel Academy,DCPS,8,At-Risk,,73,,504,Excel Academy,19872,17722,2150,12997.0,12345.0,653.0,6875.0,5377.0,1498.0,8.0,-2.0,Elementary School,K-8 School
61,001,District of Columbia Public Schools,318,Excel Academy,DCPS,8,At-Risk,,73,,504,Excel Academy,19872,17722,2150,12997.0,12345.0,653.0,6875.0,5377.0,1498.0,8.0,-2.0,Middle School,K-8 School
62,001,District of Columbia Public Schools,319,Stanton Elementary School,DCPS,8,At-Risk,,88,,522,Stanton Elementary School,19070,16804,2265,12195.0,11427.0,768.0,6875.0,5377.0,1498.0,5.0,-2.0,Elementary School,Elementary School
63,001,District of Columbia Public Schools,321,Stoddert Elementary School,DCPS,3,At-Risk,,4,,487,Stoddert Elementary School,18367,16645,1722,11492.0,11267.0,224.0,6875.0,5377.0,1498.0,5.0,-1.0,Elementary School,Elementary School
64,001,District of Columbia Public Schools,322,Smothers Elementary School,DCPS,7,At-Risk,,72,,288,Smothers Elementary School,22734,20006,2728,15859.0,14628.0,1231.0,6875.0,5377.0,1498.0,5.0,-2.0,Elementary School,Elementary School
65,001,District of Columbia Public Schools,324,Takoma Education Campus,DCPS,4,At-Risk,,42,,577,Takoma Education Campus,20777,18520,2257,13903.0,13143.0,760.0,6875.0,5377.0,1498.0,8.0,-2.0,Elementary School,K-8 School
66,001,District of Columbia Public Schools,324,Takoma Education Campus,DCPS,4,At-Risk,,42,,577,Takoma Education Campus,20777,18520,2257,13903.0,13143.0,760.0,6875.0,5377.0,1498.0,8.0,-2.0,Middle School,K-8 School
67,001,District of Columbia Public Schools,325,Thomas Elementary School,DCPS,7,At-Risk,,82,,416,Thomas Elementary School,22482,20084,2398,15607.0,14706.0,901.0,6875.0,5377.0,1498.0,5.0,-2.0,Elementary School,Elementary School
68,001,District of Columbia Public Schools,326,Thomson Elementary School,DCPS,2,At-Risk,,38,,351,Thomson Elementary School,20965,18614,2351,14090.0,13236.0,853.0,6875.0,5377.0,1498.0,5.0,-2.0,Elementary School,Elementary School
69,001,District of Columbia Public Schools,327,Truesdell Education Campus,DCPS,4,At-Risk,,49,,676,Truesdell Education Campus,19946,17539,2407,13071.0,12161.0,910.0,6875.0,5377.0,1498.0,8.0,-2.0,Elementary School,K-8 School
70,001,District of Columbia Public Schools,327,Truesdell Education Campus,DCPS,4,At-Risk,,49,,676,Truesdell Education Campus,19946,17539,2407,13071.0,12161.0,910.0,6875.0,5377.0,1498.0,8.0,-2.0,Middle School,K-8 School
71,001,District of Columbia Public Schools,328,Tubman Elementary School,DCPS,1,At-Risk,,52,,613,Tubman Elementary School,20733,18421,2311,13858.0,13044.0,814.0,6875.0,5377.0,1498.0,5.0,-2.0,Elementary School,Elementary School
72,001,District of Columbia Public Schools,329,Turner Elementary School,DCPS,8,At-Risk,,82,,537,Turner Elementary School,19375,17145,2230,12500.0,11768.0,733.0,6875.0,5377.0,1498.0,5.0,-2.0,Elementary School,Elementary School
73,001,District of Columbia Public Schools,330,Tyler Elementary School,DCPS,6,At-Risk,,38,,549,Tyler Elementary School,19659,17457,2201,12784.0,12080.0,704.0,6875.0,5377.0,1498.0,5.0,-2.0,Elementary School,Elementary School
